TweetID,Source,Target
1332257280385896448,RK_resmi,maman1965
1332224231275315201,mEiZARo,mediocrickey
1332213545220542464,magdaleneid,diyas_susanto
1332213545220542464,magdaleneid,SistersInDanger
1332213545220542464,magdaleneid,TheCabinSystem
1332213545220542464,magdaleneid,kikilitik__
1332213545220542464,magdaleneid,itslornadane
1332213545220542464,magdaleneid,siriussal
1332213545220542464,magdaleneid,rasamacchiato
1332213545220542464,magdaleneid,chococactous
1332209688243359745,amnestyindo,SistersInDanger
1332209688243359745,amnestyindo,Prapasia2
1332209228379873281,amnestyindo,nndsaa_
1332209228379873281,amnestyindo,putralubiis
1332209228379873281,amnestyindo,yolaseptika
1332209228379873281,amnestyindo,apri_kartiwan
1332209228379873281,amnestyindo,yasudahlahyun
1332209228379873281,amnestyindo,Ikrambukaniqram
1332209228379873281,amnestyindo,gamtufkange
